_key,full_name,team,position,status,injury_status,age,years_exp,number,college,espn_id,gsis_id,sportradar_id
2078,Odell Beckham,NYG,WR,Active,,33,12,3,LSU,16733,00-0031235,354dec38-b88b-4ba0-8974-859123f27c45
2091,Bashaud Breeland,ARI,CB,Active,,30,8,24,Clemson,16890, 00-0031052,ba905b34-8412-4553-9055-3460368cc608
2098,Morgan Moses,NE,OL,Active,,35,12,76,Virginia,16771,00-0031330,e15a26bb-db24-4e5a-b3a5-cc4d4eb4f0b6
2118,Eric Ebron,PIT,TE,Inactive,,28,8,85,North Carolina,16732,00-0031387,9fbcfae9-dd14-415c-8952-9b1b5dff0dfc
2126,Caraun Reid,LAC,DT,Active,,30,8,77,Princeton,16853,00-0031071,aa82ed23-934e-451f-ac47-65c63a84bf16
2133,Davante Adams,LAR,WR,Active,,33,12,17,Fresno State,16800,00-0031381,e7d6ae25-bf15-4660-8b37-c37716551de3
2135,Ha Ha Clinton-Dix,DEN,DB,Active,,29,8,32,Alabama,16735,00-0031333,977e4e40-c596-43c3-a5a9-2141f6590b89
2167,Ricardo Allen,CIN,DB,Active,,30,8,37,Purdue,16882,00-0031181,4ba33131-8214-45bf-9ce1-5ac08f1b68c5
2172,Jake Matthews,ATL,T,Active,,34,12,70,Texas A&M,16713,00-0031279,ee9c975e-68f9-49cc-886d-f1d00286305d
2216,Mike Evans,SF,WR,Active,Questionable,33,12,5,Texas A&M,16737,00-0031408,c48c21d9-0ae5-478c-ad34-30a660cfa9b8
2237,Ethan Westbrooks,NO,DT,Active,,31,8,91,West Texas A&M,17285,00-0030986,bb29cf6c-17a4-4106-9b9c-47d2d9c0e6b9
2306,Jameis Winston,NYG,QB,Active,,32,11,19,Florida State,2969939,00-0031503,fb3b36fc-b985-4807-8199-d038d7e62a93
2307,Marcus Mariota,WAS,QB,Active,Questionable,32,11,8,Oregon,2576980,00-0032268,7c16c04c-04de-41f3-ac16-ad6a9435e3f7
2308,Dante Fowler,SEA,LB,Active,,32,11,56,Florida,2980100,00-0032052,6bc85af5-fc58-4656-82da-d02780a0f6f6
2311,Leonard Williams,SEA,DE,Active,,32,11,99,USC,2971622,00-0031933,2b5152aa-cbcc-439c-b72a-ac7577c8422b
2314,Ereck Flowers,WAS,T,Active,,27,7,79,Miami (FL),2969952,00-0032259,dfdbe925-912e-4eca-9a71-e38cd3c88479
2316,Trae Waynes,CIN,CB,Active,,29,7,26,Michigan State,2576283,00-0031546,338adc8a-173d-4b1b-a5de-92818bf96823
2322,Arik Armstead,JAX,DE,Active,,32,11,91,Oregon,2971275,00-0032164,acb7169f-3ffa-4386-9866-e06af6ed7fef
2327,Bud Dupree,LAC,LB,Active,,33,11,48,Kentucky,2576702,00-0032146,48dca4c3-c6ac-4122-aee6-26f7cd259824
2334,Phillip Dorsett,LV,WR,Active,,33,11,13,Miami (FL),2579604,00-0032208,c682e8ea-fe48-45d2-af60-682a6125ab22
2340,Mario Edwards,HOU,DE,Active,,32,11,97,Florida State,2969921,00-0032265,fdfb980b-1493-4698-9b97-f445a8f495da
2353,Denzel Perryman,LAC,LB,Active,,33,11,6,Miami (FL),2579621,00-0032103,9fc6e49f-c863-419d-9dca-8f0da3f3c9c7
2359,Ameer Abdullah,JAX,RB,Active,,33,11,43,Nebraska,2576336,00-0032104,c5e430c5-7a8e-4e29-b30f-1a527f05cb89
2366,Ali Marpet,TB,G,Active,,28,7,74,Hobart,3165702,00-0032243,538a03f2-ae79-45e0-bb22-01b9a8517e77
2369,Jordan Richards,BAL,DB,Active,,28,7,48,Stanford,2577139,00-0031559,13f716fb-7249-4b0a-9858-8af8cb83f78b
2371,Jeremiah Poutasi,LV,OL,Active,,27,7,79,Utah,2971660,00-0032263,9dd63f16-866c-443a-856b-671913195f3d
2393,Danielle Hunter,HOU,DE,Active,,31,11,55,LSU,2976560,00-0031565,ba7fe857-df63-4aed-803a-80993b157be4
2407,Daryl Williams,BUF,OL,Active,,29,7,75,Oklahoma,2514244,00-0031567,b167835a-3f62-4755-9acd-319c5a3903e3
2418,Gabe Wright,WAS,DT,Active,,29,7,62,Auburn,2574579,00-0031574,8a73dcfa-3e7c-4a8d-acee-7d2b1fee6c2e
2427,Za'Darius Smith,ATL,LB,Active,,33,11,91,Kentucky,3043168,00-0031576,af3599a5-5eb4-4dd4-87ab-e0032ebfa644
2449,Stefon Diggs,WAS,WR,Active,,32,11,18,Maryland,2976212,00-0031588,a1c40664-b265-4083-aad2-54b4c734f2c5
2468,Bradley Pinion,MIA,P,Active,,32,11,48,Clemson,2977680,00-0032065,9000be32-15ad-4c43-bf8d-79a9c7113cdd
2469,Joe Cardona,LAR,LS,Active,,34,11,49,Navy,2575907,00-0032228,90517709-322d-47af-9360-77775a93496b
2471,Michael Burton,CLE,FB,Active,,34,11,34,Rutgers,2515270,00-0031595,80715ecf-ffc9-4a93-a305-2193451b3382
2505,Darren Waller,CAR,TE,Active,,33,11,35,Georgia Tech,2576925,00-0031610,14c97c9f-26e8-4944-9299-f90de6aeada3
2517,Christian Covington,LAC,DT,Active,,29,8,52,Rice,2580666,00-0031619,efe64fc8-9987-4fe6-b7a4-e2ff363cf443
2525,Bobby Hart,SEA,T,Active,,32,11,68,Florida State,2576789,00-0031622,449401ef-0251-4895-8f56-eaf5ef7f9cf8
2531,Edmond Robinson,SEA,LB,Active,,29,7,48,Newberry (SC),3137087,00-0031624,530f22b9-0f36-4ad1-9ead-ea44292b83a8
2543,Trent Brown,HOU,OL,Active,,33,11,77,Florida,3043109,00-0032071,173831a7-d33d-4d2a-8dd9-4e36182e23cc
2592,Grady Jarrett,CHI,DT,Active,,33,11,50,Clemson,2576492,00-0031583,e1fe1900-fae3-414e-8530-55eece80471f
260,Josh Johnson,CIN,QB,Active,,40,18,11,San Diego,11394, 00-0026300,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
2617,Alex Singleton,DEN,LB,Active,,32,11,49,Montana State,2612151, 00-0031898,954d9ed8-41ed-4222-b0d8-b3cc8d1755a5
2643,Deshazor Everett,WAS,DB,Active,,30,7,22,Texas A&M,2578692,00-0031844,6e91b25a-4bf4-4a53-a328-69d3e7ef86c1
2747,Jason Myers,SEA,K,Active,,35,11,5,Marist,2473037,00-0031492,7af4c94b-529b-4403-ab66-2bfed3fcf0c7
2883,Chase Williams,CLE,ILB,Active,,32,9,56,Virginia Tech,2512702,,c34923ab-9d1b-428a-b02f-e2ebf2f9d488
290,Eric Weddle,LAR,FS,Inactive,,37,15,20,Utah,10481,00-0025424,26138e8b-b776-492a-9684-b1c07e51b25c
2944,Matt LaCosse,NE,TE,Active,,29,7,83,Illinois,2576179,00-0031744,25e58aee-1b33-4468-9a81-6586426b91d5
2993,Rakeem Nunez-Roches,TB,DT,Active,,33,11,56,Southern Miss,2575453,00-0031957,d6ce0b64-9526-4983-8c3c-7f14f2918f8e
3048,Chris Manhertz,NYG,TE,Active,,34,11,85,Canisius,2531358,00-0031484,7c7b5515-7786-4e24-9ce0-34e6a8bd5727
3155,Laquon Treadwell,IND,WR,Active,,31,10,13,Ole Miss,3051889,00-0032951,2e0badcd-b78c-40ee-a83b-a1bbb36bc545
3159,Laremy Tunsil,WAS,OL,Active,Out,32,10,78,Ole Miss,3051890,00-0032380,813c2073-8f69-4f6f-94a6-6819cd14b4f3
3160,Jalen Ramsey,PIT,CB,Active,PUP,31,10,5,Florida State,3045373,00-0033055,ca53fda9-d20a-4bc7-b8dc-deef28355399
3161,Carson Wentz,MIN,QB,Active,,33,10,11,North Dakota State,2573079,00-0032950,e9a5c16b-4472-4be9-8030-3f77be7890cb
3162,Ronnie Stanley,BAL,T,Active,,32,10,79,Notre Dame,2980153,00-0032965,a792cbbf-d96a-48fc-a187-6f7f5b7dd214
3163,Jared Goff,DET,QB,Active,,31,10,16,California,3046779,00-0033106,aba8f925-ffbf-4654-bfa7-a25d3d237494
3172,DeForest Buckner,IND,DT,Active,,32,10,99,Oregon,2971282,00-0032378,d97529e5-f1cd-4fe0-8697-4b51bbe52fd4
3186,Kenny Clark,DAL,DE,Active,,30,10,97,UCLA,3122752,00-0033120,d848e4e6-ff3e-421c-9bd3-c2f62a16efd4
3188,Sheldon Rankins,HOU,DT,Active,,32,10,98,Louisville,2970204,00-0032759,3b1227f6-05c9-421f-a2c1-4c8f1368b80b
3189,Eli Apple,SF,CB,Active,,31,10,30,Ohio State,3040506,00-0032379,72a42703-19b7-417c-87ce-344fd792f5ca
3197,Emmanuel Ogbah,KC,DE,Active,,32,10,50,Oklahoma State,2977740,00-0033073,2300fe3b-c81f-4786-ae0c-0c229644239d
3198,Derrick Henry,BAL,RB,Active,,32,10,22,Alabama,3043078,00-0032764,87c481c7-7414-43cc-82df-19ca0c2ae22e
3200,Sterling Shepard,HOU,WR,Active,,33,10,17,Oklahoma,2976592,00-0032385,1ffc735b-74d8-44d2-ab32-00c5485c799f
3202,Austin Hooper,ATL,TE,Active,,31,10,81,Stanford,3043275,00-0032392,90c2a93f-d837-4e1b-b57c-56648903a8db
3207,Andrew Billings,ARI,DT,Active,,31,10,95,Baylor,3051775,00-0033066,67760ee1-c969-488f-b449-b8c37e7e32bb
3214,Hunter Henry,NE,TE,Active,,31,10,85,Arkansas,3046439,00-0033090,705899da-3c20-4bc3-b5d0-2e6e40655131
3218,A'Shawn Robinson,TB,DT,Active,,31,10,91,Alabama,3054857,00-0032889,3f44e069-a9c7-40dc-bfa9-cd403ee9cdbd
3220,Jarran Reed,SEA,DT,Active,,33,10,90,Alabama,3115312,00-0032387,c02b49d3-ddc1-4ffc-9f40-487199882fa5
3222,Deion Jones,NO,LB,Active,,31,10,45,LSU,2976545,00-0032388,a2a587d3-2971-41f5-a5d4-828d9cf1494e
3227,T.J. Green,HOU,DB,Active,,27,6,14,Clemson,3045128,00-0033059,486c2ff3-5e42-4bad-9849-2084ad0af423
3228,Sean Davis,NE,DB,Active,,28,6,30,Maryland,2976210,00-0033053,dfb0b126-9c75-41d3-9371-04065db7506a
3233,Kevin Byard,NE,DB,Active,,33,10,31,Middle Tennessee,2574056,00-0033132,c909532a-693e-4e8f-b853-fbf41037c100
3236,Maliek Collins,CLE,DT,Active,PUP,31,10,96,Nebraska,3040471,00-0033131,54f13aa1-4a2f-46a3-99ef-743c1d3ee234
3239,Bronson Kaufusi,GB,TE,Active,,30,6,45,BYU,2980444,00-0033117,dac819b2-245f-4845-a73e-b6f92fbe3abb
3240,Darian Thompson,DAL,DB,Active,,28,6,23,Boise State,2573317,00-0033083,3ec4f630-592c-4848-a76c-c30ecc090ecb
3241,Jonathan Bullard,DAL,DE,Active,Questionable,32,10,98,Florida,2980097,00-0033093,ccfcbd2c-6e35-49b9-b131-ba2143665260
3247,Joe Thuney,CHI,OL,Active,,33,10,62,North Carolina State,2577773,00-0032391,4ee0937c-1250-4456-93d4-2d6afa064d5a
3248,Isaac Seumalo,ARI,G,Active,,32,10,73,Oregon State,2978247,00-0032954,447db942-40e8-4bb3-9710-b12cfaaafb46
3256,Javon Hargrave,GB,DT,Active,,33,10,98,South Carolina State,2983055,00-0033109,3f8e4972-2361-4939-b5e3-c5f6c63b9f68
3257,Jacoby Brissett,ARI,QB,Active,,33,10,7,North Carolina State,2578570,00-0033119,ad2258ab-67f0-41c2-bcf3-f3ba145187dc
3258,Nick Vannett,SEA,TE,Active,,33,10,83,Ohio State,2576399,00-0032394,c731aa8a-778b-4ccd-a19f-517eb66f47b7
3268,Eric Murray,JAX,DB,Active,,32,10,29,Minnesota,2970716,00-0033038,16e4ffec-959d-4210-8702-36c0bf20dda5
3269,Chris Moore,BAL,WR,Active,,33,10,17,Cincinnati,2576581,00-0032398,0b504d67-639b-4ba8-979a-498a3086257b
3271,Tyler Higbee,LAR,TE,Active,,33,10,89,Western Kentucky,2573401,00-0033110,0df7912d-9e81-47ea-b4f7-d04986df4ee8
3272,Miles Killebrew,TB,DB,Active,,33,10,29,Southern Utah,2575164,00-0032399,4419b655-867f-436b-8233-6d45f4dfef77
3281,David Onyemata,NYJ,DT,Active,,33,10,93,Manitoba (CAN),4002046,00-0033051,08d27d1a-e039-4ccc-9ba7-65a22f6002fd
3286,Demarcus Robinson,SF,WR,Active,,31,10,5,Florida,3043116,00-0032775,46b16198-116f-4913-85db-2bc21462bd66
3294,Dak Prescott,DAL,QB,Active,,33,10,4,Mississippi State,2577417,00-0033077,86197778-8d4b-4eba-affe-08ef7be7c70b
3295,Dean Lowry,PIT,DE,Active,,32,10,98,Northwestern,2974348,00-0032412,0df44cfb-8dab-4fc1-8556-108505a4b428
3299,Ronald Blair,NYJ,DE,Active,,28,6,54,Appalachian State,2567711,00-0032413,e8fa43ed-ae19-4603-b69c-a555664bd368
3309,Wendell Smallwood,WAS,RB,Active,,27,6,38,West Virginia,3042429,00-0032782,c7d0a740-fcf2-4971-b1b6-43761d984bf9
3322,DJ Reader,NYG,DT,Active,,32,10,98,Clemson,2977670,00-0032424,42bb4895-bdfb-40e2-8119-f5b06611bf1b
3333,Temarrick Hemingway,WAS,TE,Active,,28,6,88,South Carolina State,2580330,00-0033112,02fc59d0-8a66-431f-97fc-21fdc096eb14
3356,Kyle Murphy,NO,OT,Active,,28,6,79,Stanford,2978275,00-0032433,cce52ea1-7e17-4992-8911-e6b07b7b3831
3357,Brandon Allen,NYG,QB,Active,,33,10,12,Arkansas,2574511,00-0032434,a8c3bcd7-69d0-4c5e-a876-6b33857942bc
3367,Kavon Frazier,LV,DB,Active,,27,6,43,Central Michigan,2972505,00-0033048,a6493c08-f70e-4aef-ab07-914625b9c047
3369,Elandon Roberts,PIT,LB,Active,,32,10,50,Houston,2987743,00-0032442,f6d7cf0f-72d2-473f-a44b-4a253587ca0f
3376,Ted Karras,CIN,OL,Active,,33,10,64,Illinois,2576188,00-0032445,7830196e-cdca-4b86-bee2-eae97de2ee26
3383,Riley Dixon,TB,P,Active,,32,10,9,Syracuse,2577619,00-0032943,f45835c5-aa9e-4e32-b545-20d1e322fe8f
3415,Jonathan Jones,PHI,DB,Active,Questionable,32,10,32,Auburn,2971027,00-0032580,537c88d4-c403-43f4-94a1-fdccea0ee24a
3439,Jake Brendel,SF,OL,Active,,33,10,64,UCLA,2577185,00-0032701,658f1215-e84a-4170-aaea-a6e8bacc8ff5
3451,Ka'imi Fairbairn,HOU,K,Active,,32,10,15,UCLA,2971573,00-0032726,203b60aa-cb94-499c-a4ca-d3c6b94dddc4
3474,Briean Boddy-Calhoun,TEN,CB,Active,,29,6,36,Minnesota,2970694,00-0032517,2967c556-a7b2-407a-8013-cee8d99b41cf
3526,Roy Robertson-Harris,NYG,DE,Inactive,IR,33,10,95,UTEP,2574891,00-0032667,36248cd5-f747-4960-b66a-a5d4f481e098
3527,Kevin Peterson,ARI,CB,Active,,28,6,27,Oklahoma State,2977742,00-0032848,30e539c3-74dd-4a9a-9ebb-4bdd0f0d39f8
3543,Spencer Pulley,MIA,C,Active,,28,6,0,Vanderbilt,2577792,00-0032911,1b7258f3-ea04-47ba-b315-cc709fef4bfd
3558,Chris Jones,KC,DT,Active,,32,10,95,Mississippi State,3044859,00-0032762,ef7b5ce8-a929-46be-b9f3-328752c6d125
3576,Reid Ferguson,BUF,LS,Active,,32,10,69,LSU,2976549,00-0032497,63ed7895-38bf-44ff-9b8a-8d5b0b5bd1eb
3589,Chris Milton,MIA,DB,Active,,29,6,35,Georgia Tech,2576895,00-0032353,3c7b7eef-6c99-4f88-8b1c-cdf93864f2f3
3590,Adam Redmond,BAL,C,Active,,28,6,53,Harvard,2566609,00-0032354,1b379101-6c8f-42d4-843c-9a3cc44993ff
3598,Luke Rhodes,IND,LS,Active,,33,10,46,William & Mary,2566045,00-0032753,8da0fe32-1758-44ed-9acf-21b3721cbd0d
3634,Kalif Raymond,CHI,WR,Active,,32,10,14,Holy Cross,2973405,00-0032464,e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36
3637,Eddie Yarbrough,MIN,DE,Active,,28,6,66,Wyoming,2576040,00-0032480,fdc01035-18e4-4928-808f-26ee414948d4
3643,Doug Middleton,SF,DB,Active,,28,6,48,Appalachian State,2567725,00-0032697,0e41e388-6e5b-4a12-aa2f-45bf83ffadc5
3668,Joshua Perkins,NYJ,TE,Active,,28,6,89,Washington,2578377,00-0032599,9c18801d-bdaa-4036-9663-24280c763bcf
3669,Brian Poole,IND,CB,Active,,29,6,33,Florida,2980115,00-0032596,901c84c7-ef46-4c9f-9941-ac8becc02986
3678,Wil Lutz,DEN,K,Active,,32,10,3,Georgia State,2985659,00-0032569,c4cf84d0-6022-4ac1-a9ba-85587921c53f
3692,Alex Redmond,NE,OG,Inactive,,27,6,64,UCLA,3047571,00-0032549,133ff990-0b7b-467d-a949-1e1720f96bc9
3763,Woodrow Hamilton,NYG,DT,Active,,29,6,90,Ole Miss,2577392,00-0032578,b3beb95a-c1e7-4d03-b61a-097199528816
3808,Rolan Milligan,IND,DB,Active,,27,6,42,Toledo,3916678,00-0032830,bc6aa137-cef3-481e-a87a-e06dad32882c
3838,Antonio Hamilton,WAS,CB,Active,,33,10,34,South Carolina State,3056354,00-0032933,9bc107dc-1920-49db-b009-436d1a77955d
3849,Wynton McManis,MIA,LB,Active,,27,6,48,Memphis,2977884,,b0b9a957-389f-4a08-9a68-177fcb59c50c
3868,Jalen Richard,LV,RB,Active,,28,6,30,Southern Miss,2972091,00-0033025,c78c299b-7c73-40fc-9155-2ede7f9849c7
3882,Zach Wood,NO,LS,Active,,33,10,49,SMU,2575788,00-0033063,94510e36-d0ea-48c5-9c7e-b09b31c5c218
3888,Lucas Patrick,NYG,G,Active,Questionable,33,10,62,Duke,2576736,00-0033082,e9615c8c-3a7e-4b10-92f8-86f48edbe9a4
3973,Myles Garrett,LAR,DE,Active,Questionable,30,9,95,Texas A&M,3122132,00-0033868,a85a0ba9-674c-4f37-a944-474fc6cdf557
3976,Mitchell Trubisky,TEN,QB,Active,Questionable,32,9,10,North Carolina,3039707,00-0033869,7a1b8f1a-9024-4897-86b0-01c63e00305e
4017,Deshaun Watson,CLE,QB,Active,,30,9,4,Clemson,3122840,00-0033537,eec5265c-7731-4bb6-8af2-4f98a67f9ab7
4032,Jonathan Allen,CIN,DT,Active,,31,9,93,Alabama,3054840,00-0033523,5ba11bd2-e764-4dea-98e1-dad01a21cdd3
4033,David Njoku,LAC,TE,Active,,30,9,83,Miami (FL),3123076,00-0033885,8f86fcea-90e8-49ea-bc78-5c7659313e57
4034,Christian McCaffrey,SF,RB,Active,Questionable,30,9,23,Stanford,3117251,00-0033280,f96db0af-5e25-42d1-a07a-49b4e065b364
4035,Alvin Kamara,NO,RB,Active,Questionable,31,9,41,Tennessee,3054850,00-0033906,d9c857b2-97da-4fb8-a527-afbbb2a67413
4037,Chris Godwin,TB,WR,Active,,30,9,14,Penn State,3116165,00-0033921,baa61bb5-f8d0-4f90-bbe2-028576b8d33d
4039,Cooper Kupp,SEA,WR,Active,,33,9,10,Eastern Washington,2977187,00-0033908,2806e915-c46f-492f-8a29-71d3a85e5620
4046,Patrick Mahomes,KC,QB,Active,Questionable,30,9,15,Texas Tech,3139477,00-0033873,11cad59d-90dd-449c-a839-dddaba4fe16c
4053,Garett Bolles,DEN,OT,Active,,34,9,72,Utah,4035662,00-0033538,09fab9a8-b0af-4580-bf55-5c9167912f89
4054,Mo Alie-Cox,IND,TE,Active,,32,9,81,VCU,2998565,00-0033217,8809c0dd-786b-4255-a7d0-333c9498c19a
4058,Solomon Thomas,TEN,DT,Active,,30,9,90,Stanford,3117258,00-0033870,74473bcc-5bdb-4650-8549-8a8a12874cbf
4066,Evan Engram,DEN,TE,Active,,31,9,1,Ole Miss,3051876,00-0033881,e21365af-8d66-416e-b0a5-8816d18fcfd9
4070,T.J. Watt,PIT,LB,Active,,31,9,90,Wisconsin,3045282,00-0033886,f340201b-a1b1-43ba-a47a-484a44334553
4071,Marlon Humphrey,BAL,CB,Active,,30,9,44,Alabama,3126356,00-0033281,bf9749c6-6609-456e-a3eb-b8cab21dd76a
4074,Malik Hooker,DAL,DB,Active,,30,9,24,Ohio State,3121415,00-0033877,3cb26a5c-9c90-46ad-b539-e29ad6934e30
4077,Jamal Adams,MIN,SS,Inactive,IR,30,9,32,LSU,3115373,00-0033872,1a92b0ad-3eb2-4df3-bf02-04c4d9ffe10c
4080,Zay Jones,HOU,WR,Active,,31,9,17,East Carolina,3059722,00-0033891,a28f7368-0306-4d20-855f-285a1a09c09c
4081,Budda Baker,ARI,DB,Active,,30,9,3,Washington,3127287,00-0033890,5ce20f3e-0f02-4f53-a2ef-5b076361f2b1
