player_id,player_name,first_name,last_name,position_id,positions,team_id,birthdate,draft_class,sportsdata_player_id,espn_id,yahoo_id,cbs_id,nfl_id,mfl_id,filename
8000,Arizona Cardinals,Arizona,Cardinals,DST,"[""DST""]",ARI,,,de760528-1dc0-416a-a978-b510d20692ff,-16022,100022,1901,100026,519,https://www.fantasypros.com/nfl/teams/arizona-defense.php
8010,Atlanta Falcons,Atlanta,Falcons,DST,"[""DST""]",ATL,,,e6aa13a4-0055-48a9-bc41-be28dc106929,-16001,100001,1902,100001,526,https://www.fantasypros.com/nfl/teams/atlanta-defense.php
8020,Baltimore Ravens,Baltimore,Ravens,DST,"[""DST""]",BAL,,,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,-16033,100033,1903,100002,531,https://www.fantasypros.com/nfl/teams/baltimore-defense.php
8030,Buffalo Bills,Buffalo,Bills,DST,"[""DST""]",BUF,,,768c92aa-75ff-4a43-bcc0-f2798c2e1724,-16002,100002,1904,100003,501,https://www.fantasypros.com/nfl/teams/buffalo-defense.php
8040,Carolina Panthers,Carolina,Panthers,DST,"[""DST""]",CAR,,,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,-16029,100029,1905,100004,527,https://www.fantasypros.com/nfl/teams/carolina-defense.php
8050,Chicago Bears,Chicago,Bears,DST,"[""DST""]",CHI,,,7b112545-38e6-483c-a55c-96cf6ee49cb8,-16003,100003,1906,100005,521,https://www.fantasypros.com/nfl/teams/chicago-defense.php
8060,Cincinnati Bengals,Cincinnati,Bengals,DST,"[""DST""]",CIN,,,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,-16004,100004,1907,100006,506,https://www.fantasypros.com/nfl/teams/cincinnati-defense.php
8070,Cleveland Browns,Cleveland,Browns,DST,"[""DST""]",CLE,,,d5a2eb42-8065-4174-ab79-0a6fa820e35e,-16005,100005,1930,100007,507,https://www.fantasypros.com/nfl/teams/cleveland-defense.php
8080,Dallas Cowboys,Dallas,Cowboys,DST,"[""DST""]",DAL,,,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,-16006,100006,1908,100008,516,https://www.fantasypros.com/nfl/teams/dallas-defense.php
8090,Denver Broncos,Denver,Broncos,DST,"[""DST""]",DEN,,,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,-16007,100007,1909,100009,511,https://www.fantasypros.com/nfl/teams/denver-defense.php
